Study Num,Study Title (O),Authors (O),Journal (O),Volume (O),Issue (O),Pages (O),Project URL,Descriptors (O),Number of Authors (O),Number of Authors (R),1st author (O),"Citation Count, 1st author (O)",Institution 1st author (O),Senior author (O),"Citation count, senior author (O)",Institution senior author (O),1st author (R),"Citation count, 1st author (R)",Institution 1st author (R),Senior author (R),"Citation count, senior author (R)",Institution senior author (R),"Citation count, paper (O)","Institution prestige, 1st author (O)","Institution prestige, senior author (O)","Institution prestige, 1st author (R)","Institution prestige, senior author (R)",Number of Studies (O),Discipline (O),Number of research sites (O),Secondary data (O),Methodology expertise required (O),Opportunity for expectancy bias (O),Opportunity for lack of diligence (O),Surprising result (O),Exciting result (O),Internal conceptual replications (O),Successful conceptual replications (O),Internal direct replications (O),Successful direct replications (O),Feasibility (O),Status (R),Completion (R),Secondary (R),Contact Researcher (R),Study claim date (R),Analysis completion date (R),Coder's email (R),Replicated study number (R),Test statistic (O),N (O),Reported P-value (O),Calculated P-value (O),# Tails (O),Type of analysis (O),Type of effect (O),Description of effect (O),Effect size (O),Actual Power (O),80% power,90% power,95% power,Collect materials from authors,Planned Sample,Planned Power,Original Author's Assessment,OSC reviewer (O),Test statistic (R),N (R),P-value (R),Direction (R),# Tails (R),Type of analysis (R),Type of effect (R),Replicate (R),Power (R),Effect Size (R),OSC reviewer (R),Notes (R),Project audit complete (R),R check location (R),Degree (R),Year of highest degree (R),Current position (R),Domain expertise (R),Method expertise (R),Total publications (R),Peer-reviewed articles (R),Citations (R),Implementation quality (R),Data collection quality (R),Replication similarity (R),Differences (R),Effect similarity (R),Findings similarity (R),Difficulty of implimentation (R),Surprise of outcome (R),Dummy,Number of Research sites (R),Secondary data (R),Area of expertise (R),T_N..O.,T_Test.Statistic..O.,T_TestComparison..O.,T_df1..O.,T_df2..O.,T_Test.value..O.,T_p.comparison..O.,T_pval..O.,T_pval.recalc..O.,T_pval_USE..O.,T_sign..O.,T_r..O.,T_N..R.,T_Test.Statistic..R.,T_Test.Comparison..R.,T_df1..R.,T_df2..R.,T_Test.value..R.,T_p.comparison..R.,T_pval..R.,T_pval.recalc..R.,T_pval_USE..R.,T_sign..R.,T_r..R.,T_Comparison.effects..R.O.,Type of analysis (O),Type of analysis (R),,T_sign_O,T_sign_R,T_O_larger,T_N_O_for_tables,T_N_R_for_tables,Meta-analytic estimate (Fz),O within CI R,Meta-analysis significant
88,"Not yet human: Implicit knowledge, historical dehumanization, and contemporary consequences.","PA Goff, JL Eberhardt, MJ Williams, MC Jackson",JPSP,94,2,292-306,,"Adolescent, Adult, African Continental Ancestry Group [history], Civil Rights, Dehumanization, European Continental Ancestry Group, History, 19th Century, History, 20th Century, Humans, Male, Prejudice, Questionnaires, Stereotyping, United States",4,,Goff,,,,,,,,,,,,245,,,,,,,,,,,,,,,,,,0,2,0,0,,,,J Cohoon,6,"F(1, 151) = 4.61",153,<.05,,,ANCOVA,main effect,"controlling for number of mentions, blacks are mentioned in articles as being more apelike than whites",__p^2 = .03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,153,F,is,1,151,4.61,<,0.05,0.033382483,0.033382483,,0.172120148,,,,,,,,,,,,,,,,,,,,,,,,
89,Sex differences in mate preferences revisited: Do people know what they initially desire in a romantic partner?,"PW Eastwick, EJ Finkel",JPSP,94,2,245-64,https://osf.io/ng6cc/,"Adult, Choice Behavior, Empathy, Female, Humans, Love, Male, Marriage [psychology], Questionnaires, Sexual Behavior [psychology]",2,2,Eastwick,1248,Northwestern University,Finkel,4655,Northwestern University,Selterman,36,University of Maryland,Selterman,36,University of Maryland,202,4.42,4.42,3.41,3.41,1,Social,1,Collected themselves,Extreme expertise required,Slight opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,3.67,3.67,0,0,0,0,0,1,1,0,D Selterman,8/17/12,3-4-2014,S Mackinnon,1,t(26) = 0.72,163,0.48,,,Meta-analytic summary of interaction effects in 14 multilevel models,interaction,"non-significant, 2-way interaction between gender (moderator) and earning prospects (X) in predicting romantic interest (Y)",r = .04,,275,380,480,Complete,275,0.8,1,J Goss,t(26) = 0.15,304,0.87,same,,Meta-analytic summary of interaction effects in 14 multilevel models,interaction,yes,0.8,r = .01,J Arnal,original test statistic was not reported and is calculated with the original data and replication's analyses; power calculations based on medium-small effect sie (r=.2); replication's power is a conservative estimate,1,https://osf.io/x3hbe/,PhD or equivalent,2011,Faculty (non-tenure track) full-time lecturer,High Expertise,Slight Expertise,14,7,36,was of slightly lower quality than the original study,was about the same as the average study,Moderately similar,"a) We recruited participants with an incentive of extra credit in psychology courses; we could not offer monetary compensation as in the original design; b) We were constrained by technological capacities of internet servers at Maryland and therefore, instead of using a customized website for storing survey data and communication between participants, we used individualized Qualtrics surveys for pre and post-event follow ups. We also instructed participants to create anonymous emails for communication with potential partners in the study; c) Being that participants were allowed to sign up for events up until 24 hours in advance, they were given the pre-event survey to complete 1-4 days before the event rather than 6-13 days before the event as in the original study; d) The speed dating events were held in two spacious auxiliary rooms on the Maryland campus (ordinarily used for social events), with comfortable seating, lighting, and music, rather than an art gallery as in the original study (which was not available to us); e) One of the relationship initiation outcomes in the follow up surveys (ñI am eager to get to know [name] betterî) was dichotomous (ñYes/Noî) in our study, but continuous on a 1-9 scale in the original study; f) Due to human error, one of the 4 items assessing the degree to which participants rated their ideal partners and dates/matches as ñpersonableî was missing from our follow-up surveys. We do not believe that any of these differences are substantial.",Virtually identical,Virtually identical,Very challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Social,163,t,is,1,26,0.72,is,0.48,0.477948177,0.477948177,,0.139816632,304,t,is,1,26,0.15,is,0.87,0.881922196,0.881922196,,0.0294047,,Meta-analytic summary of interaction effects in 14 multilevel models,Meta-analytic summary of interaction effects in 14 multilevel models,,0,0,1,26,26,0.085075863,1,0
90,Nuestra culpa: Collective guilt and shame as predictors of reparation for historical wrongdoing.,"R Brown, R Gonzàlez, H Zagefka, J Manzi, S Cehajic",JPSP,94,1,75-90,,"Adolescent, Chile, Cross-Sectional Studies, Female, Guilt, Homicide [psychology], Humans, Indians, South American, Longitudinal Studies, Male, Mass Behavior, Race Relations [psychology], Regression Analysis, Shame",5,,Brown,,,,,,,,,,,,113,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,3,F_change = 21.04,193,<.001,,,regression,increase in variance explained,"after regressing reparation attitudes onto guilt and shame, adding reputation management increased the variance explained",deltaR^2 = .065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,193,F_change,is,,,21.04,<,0.001,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
91,All in the mind's eye? Anger rumination and reappraisal.,"RD Ray, FH Wilhelm, JJ Gross",JPSP,94,1,133-45,,"Adolescent, Adult, Analysis of Variance, Anger [physiology], Emotions [physiology], Female, Humans, Mental Recall, Obsessive Behavior [physiopathology], Reaction Time, Social Perception, Sympathetic Nervous System [physiopathology], Thinking, United States",3,,Ray,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,,0,2,0,0,,,,J Cohoon,2,"F(1, 105) = 12.53",116,0.001,,,nested repeated measures ANOVA,main effect,rumination lead to more sympathetic nervous system activation than reappraisal,__p^2 = .11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,116,F,is,1,105,12.53,is,0.001,0.00059829,0.00059829,,0.326513519,,,,,,,,,,,,,,,,,,,,,,,,
92,Expect the unexpected: Failure to anticipate similarities leads to an intergroup forecasting error.,"RK Mallett, TD Wilson, DT Gilbert",JPSP,94,2,265-77,,"Adolescent, Adult, Affect, Female, Forecasting, Humans, Interpersonal Relations, Male, Middle Aged, Social Perception",3,,Mallett,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,4,"F(1, 73) = 7.13",81,0.009,,,2x2x2 between ANOVA,interaction,people underestimate the positivity of their interactions with outgroup members as compared to ingroup members,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,81,F,is,1,73,7.13,is,0.009,0.00933879,0.00933879,,0.298295838,,,,,,,,,,,,,,,,,,,,,,,,
93,Balancing connectedness and self-protection goals in close relationships: A levels-of-processing perspective on risk regulation.,"SL Murray, JL Derrick, S Leder, JG Holmes",JPSP,94,3,429-59,https://osf.io/cxmf6/,"Adolescent, Adult, Conflict (Psychology), Courtship [psychology], Female, Goals, Humans, Intention, Interpersonal Relations, Male, Models, Psychological, Questionnaires, Rejection (Psychology), Risk Reduction Behavior, Self Concept, Students [psychology], Trust [psychology]",4,4,Murray,5349,"University at Buffalo, The State University of New York",Holmes,11286,University of Waterloo,Sinclair,323,Mississippi State University,Sinclair,323,Mississippi State University,117,2.84,2.98,2.62,2.62,8,Social,1,Collected themselves,Moderate expertise required,Moderate opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,1.4,2.6,0,0,0,0,0,1,1,0,C Sinclair,8-12-2014,3/17/15,M Kidwell,8,t(83) = 3.05,91,<.01,,,hierarchical regression analyses,interaction,"ñwhen primed with approach goals, lows in the partner criticism condition believed their partner regarded them significantly more negatively than did controls,î",sr^2 = .07,,73,96,119,Complete,73,0.8,2,A Laique,t(68) = -1.124,76,0.265,opposite,,hierarchical regression analyses,interaction,no,0.81,beta = -.231,J Cohoon,,1,https://osf.io/9ue7j/,PhD or equivalent,2004,Associate Professor (or equivalent),Moderate Expertise,Some Expertise,22,13,334,was about the same quality as the original study,was slightly better than the average study,Very similar,"We recruited couples from the community in addition to the university and thus paid some participants instead of just awarding credit. However, the overwhelming majority of our participants were still students. Plus, per the recommendation of the committee we took out the avoidant priming condition. Otherwise, we used the same materials as were provided but for one exception where we added a scale because when we were going through the script at the end the script said to tell the participant assigned to the video condition that we had an extra measure for them to complete, as we couldn't determine what that extra measure was in the materials we included a rejection sensitivity scale. There was a single-item that asked how many faults they thought their partner listed, but this was just at the end of the post-manipulation survey and so was administered in conjunction with those materials. We added an item to the note coding scheme because we had a decent number of couple members simply volunteer to take their partner's place for the video that we added it to coding but that would not have affected administration.",Somewhat similar,Somewhat similar,Moderately challenging,Results were slightly surprising,X,1,No data used was pre-existing,Social,91,t,is,1,83,3.05,<,0.01,0.003071238,0.003071238,,0.317462994,76,t,is,1,68,-1.124,is,0.265,0.2649653,0.2649653,,-0.1351,,hierarchical regression analyses,hierarchical regression analyses,,1,0,1,83,68,0.119839749,0,0
94,"Self-handicapping, excuse making, and counterfactual thinking: Consequences for self-esteem and future motivation.",SM McCrea,JPSP,95,2,274-92,https://osf.io/mua6d/,"Affect, Decision Making, Defense Mechanisms, Female, Humans, Internal-External Control, Male, Motivation, Self Concept, Social Responsibility, Thinking",1,1,McCrea,828,University of Konstanz,McCrea,828,University of Konstanz,Chartier,20,Ashland University,Chartier,20,Ashland University,51,2.09,2.09,1.54,1.54,5,Social,1,Collected themselves,Strong expertise required,Moderate opportunity for researcher expectations to influence results,Strong opportunity for lack of diligence to affect the results,2,3,0,0,0,0,0,1,1,0,C Chartier,3/20/14,1-6-2015,J Cohoon,5,t(26) = 1.87,28,<.05,,1,independent samples t-test,main effect,participants in the control condition outperformed participants in the self handicap condition during a task in which they answered mathematical questions,d = .736,,48,66,82,Complete,66,0.91,1,A Calhoun Sauls,t(59)=2.325,61,0.01175,same,1,independent samples t-test,main effect,yes,0.88,d = .197,J Goss,,1,https://osf.io/7pdh8/,PhD or equivalent,2013,Assistant Professor (or equivalent),Slight Expertise,Slight Expertise,4,4,20,was about the same quality as the original study,was slightly better than the average study,Extremely similar,Sample difference. Original conducted in Germany. Replication conducted in small town Ohio.,Very similar,Moderately similar,Slightly challenging,Results were slightly surprising,X,1,No data used was pre-existing,Social,28,t,is,1,26,1.87,<,0.05,0.072784038,0.036392019,,0.344312999,61,t,is,1,59,2.325,is,0.01175,0.023531667,0.011765834,,0.28970838,,independent samples t-test,independent samples t test,,1,1,1,26,59,0.316539921,1,1
95,"Interindividual-intergroup discontinuity in the domain of correspondent outcomes: the roles of relativistic concern, perceived categorization, and the doctrine of mutual assured destruction.","ST Wolf, CA Insko, JL Kirchner, T Wildschut",JPSP,94,3,479-94,https://osf.io/sgd4c/,"Choice Behavior [physiology], Competitive Behavior [physiology], Conflict (Psychology), Cooperative Behavior, Female, Group Processes, Humans, Individuality, Interpersonal Relations, Male, Motivation, Social Perception, Students [psychology]",4,2,Wolf,246,"UNC, Chapel Hill",Insko,7405,"UNC, Chapel Hill",Loureiro,20,University of Maryland,Loureiro,20,University of Maryland,16,4.25,4.25,3.41,3.41,2,Social,1,Collected themselves,Slight expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,4.5,3,1,1,0,,0,1,0,0,M Dugas,9-6-2013,,M Dugas,2,"F(1, 33) = 6.12",41,<.05,,,ANOVA,interaction,the discontinuity effect existed when payoffs for mutual competition were moderately low (low PC-JC) and disappeared when the payoffs for mutual competition were extremely low (high PC-JC),d = .86,,90,119,147,Complete,92,0.82,1,A Lapka,,,,,,,,,,,,"First author did not respond to inquiries about original materials, but the fourth author provided a set of generic materials that formed the basis of the target study and could be easily adapted to our needs.",,,Master's degree or equivalent,2014,PhD student,Some Expertise,Some Expertise,4,3,10,,,,,,,,,X,1,,Social,41,F,is,1,33,6.12,<,0.05,0.01868282,0.01868282,,0.395527139,,,,,,,,,,,,,,,,,,,,,,,,
96,Placing the face in context: Cultural differences in the perception of facial emotion.,"T Masuda, PC Ellsworth, B Mesquita, J Leu, S Tanida, E Van de Veerdonk",JPSP,94,3,365-81,,"Attention [physiology], Cultural Diversity, Emotions [physiology], Eye Movements [physiology], Facial Expression, Female, Humans, Japan, Judgment [physiology], Male, Social Perception, Students [psychology], United States",6,,Masuda,,,,,,,,,,,,237,,,,,,,,,,,,,,,,,,0,2,0,1,,,,J Cohoon,2,"F(1, 47) = 9.72",49,<.001,,,2x3 ANOVA,main effect,Japanese look more at surrounding context than westerners during the emotion judgment task,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,49,F,is,1,47,9.72,<,0.001,0.003107906,0.003107906,,0.413966332,,,,,,,,,,,,,,,,,,,,,,,,
97,Social identity contingencies: How diversity cues signal threat or safety for African Americans in mainstream institutions.,"V Purdie-Vaughns, CM Steele, PG Davies, R Ditlmann, JR Crosby",JPSP,94,4,615-30,https://osf.io/etg7c/,"Adolescent, Adult, African Continental Ancestry Group [psychology], Cues, Cultural Diversity, Female, Hierarchy, Social, Humans, Judgment, Male, Organizational Culture, Prejudice, Rejection (Psychology), Social Identification, Social Values, Stereotyping, Trust",5,1,Purdie-Vaughns,2400,Yale,Steele,26670,Stanford University,Schmidt,110,UVA Wise,Schmidt,110,UVA Wise,240,6.56,6.54,2.34,2.34,3,Social,3,Collected themselves,No expertise required,Slight opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,2.6,3.4,1,1,0,0,0,1,1,1,K Schmidt,8-4-2014,2/13/15,M Kidwell,2,"F(1, 73) = 12.19",90,0.001,,,ANOVA,interaction,"A high fairness cue created lower expectations of threatening identity contingencies and higher trust in comparison to a low fairness cue, but only for African American and not White professionals",__p^2 = .1431,,50,65,80,No response,80,0.95,9,F Bosco,"F(1,1486)=2.03",1490,0.154,opposite,2,ANOVA,interaction,No,0.99,__p^2 = .001,J Cohoon,,1,https://osf.io/5vdrg/,PhD or equivalent,2014,Assistant Professor (or equivalent),Some Expertise,Moderate Expertise,5,4,114,was about the same quality as the original study,was better than the average study,Very similar,online versus in person implementation,Moderately similar,Moderately similar,Somewhat challenging,Results were slightly surprising,X,1,No data used was pre-existing,Social,90,F,is,1,73,12.19,is,0.001,0.000819277,0.000819277,,0.378274916,1490,F,is,1,1486,2.03,is,0.154,0.154430586,0.154430586,,-0.036935346,,ANOVA,Least squares ANOVA,,1,0,1,73,1486,-0.016836682,0,0
98,Conceptualizing and assessing self-enhancement bias: A componential approach,"VS Kwan, OP John, RW Robins, LL Kuang",JPSP,94,6,1062-77,,"Adult, Female, Humans, Male, Mental Health, Self Concept, Social Adjustment, Social Desirability",4,,Kwan,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,4,r = .91,102,<.01,,,correlation,correlation,"controlling for target effect, social comparison index is highly correlated with SRM index",r = .91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,102,r,is,,,0.91,<,0.01,3.61E-52,3.61E-52,,0.91,,,,,,,,,,,,,,,,,,,,,,,,
99,How attributional ambiguity shapes physiological and emotional responses to social rejection and acceptance.,"WB Mendes, B Major, S McCoy, J Blascovich",JPSP,94,2,278-91,,"Adult, Affect, Discrimination (Psychology), Female, Heart Rate, Humans, Male, Rejection (Psychology), Social Behavior, Social Desirability",4,,Mendes,,,,,,,,,,,,151,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,1,"F(1, 102) = 6.43",104,<.05,,,between 2x2 ANOVA,interaction,significant participant x evaluator race interaction for cardiac output: rejection from a same race partner decreased cardiac output but rejection from a different race partner increaced cardiac output,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,104,F,is,1,102,6.43,<,0.05,0.012738074,0.012738074,,0.243517826,,,,,,,,,,,,,,,,,,,,,,,,
100,Mr. Grimace or Ms. Smile,"A Santos, C Rondan, DB Rosset, D Da Fonseca, C Deruelle",PS,19,1,70-6,,"Adolescent, Adult, Asperger Syndrome [diagnosis], Attention, Autistic Disorder [diagnosis], Discrimination Learning, Emotions, Facial Expression, Female, Humans, Male, Middle Aged, Pattern Recognition, Visual",5,,Santos,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,1,"F(1, 40) = 11.3",42,<.001,,,between 2x2 ANOVA,interaction,"Group x Task interaction for high pass choices: on the gender task ""groups did not differ in the number of high pass choices, whereas on the emotion task, the control group showed a greater high pass bias than the ASD group""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,42,F,is,1,40,11.3,<,0.001,0.001715568,0.000857784,,0.469332403,,,,,,,,,,,,,,,,,,,,,,,,
101,Happiness is a personal (ity) thing,"A Weiss, TC Bates, M Luciano",PS,19,3,205-10,,"Adult, Female, Happiness, Health Surveys, Humans, Individuality, Male, Middle Aged, Models, Genetic, Personality [genetics], Personality Inventory [statistics & numerical data], Phenotype, Psychometrics, Quality of Life [psychology], Statistics as Topic, Twins [genetics]",3,,Weiss,,,,,,,,,,,,198,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,1,deltaX^2(14) = 19.99,1946,>.05,,,five factor model,change in model fit,"eliminating dominance effects still leaves a good model fit (specifying that ""all genetic influences on subjective well being originated from a general genetic factor that also influenced the five personality domains and from genetic factors for the five personality domains"")",,,,,,,,,,,,,,,,,,,,,,the authors expected this change in model fit to be insignificant„this would confirm their hypothesis. they report p > .05,,,,,,,,,,,,,,,,,,,X,,,,1946,DeltaChi2,is,14,,19.99,>,0.05,NA,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,
102,The negative consequences of threat: A functional magnetic resonance imaging investigation of the neural mechanisms underlying women's underperformance in math,"AC Krendl, JA Richeson, WM Kelley, TF Heatherton",PS,19,2,168-75,,"Adult, Affect, Fear, Female, Gyrus Cinguli [anatomy & histology], Humans, Magnetic Resonance Imaging, Mathematics, Prefrontal Cortex [anatomy & histology], Reaction Time",4,,Krendl,,,,,,,,,,,,73,,,,,,,,,,,,,,,,,,0,0,0,0,,,,J Cohoon,1,t(13) = 5.64,14,<.001,,,dependent samples t-test,main effect,"threatened, but not control Ps, recruit heightened vACC activation over time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,28,t,is,1,13,5.64,<,0.001,8.06E-05,8.06E-05,,0.842545902,,,,,,,,,,,,,,,,,,,,,,,,
103,Why it pays to get inside the head of your opponent,"AD Galinsky, WW Maddux, D Gilin, JB White",PS,19,4,378-84,,"Adult, Cognition, Empathy, Female, Humans, Male, Negotiating, Social Perception",4,,Galinsky,,,,,,,,,,,,231,,,,,,,,,,,,,,,,,,0,2,0,0,,,,M Kidwell,3,"F(2, 72) = 4.51",146,0.014,,,ANOVA,main effect,dyads in the perspective taking condition achieved higher joint gain than control dyads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,146,F,is,2,72,4.51,is,0.014,0.014277405,0.014277405,,0.23593488,,,,,,,,,,,,,,,,,,,,,,,,
104,"Effects of fluency on psychological distance and mental construal (or why New York is a large city, but New York is a civilized jungle).","AL Alter, DM Oppenheimer",PS,19,2,161-7,https://osf.io/kegmc/,"Adult, Distance Perception, Environment, Female, Humans, Male, Perception, Questionnaires, Visual Perception",2,1,Alter,1369,Princeton,Oppenheimer,2818,Princeton,Foster,2249,University of South Alabama,Foster,2249,University of South Alabama,109,6.51,6.51,2.18,2.18,3,Social,1,Collected themselves,No expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,2,3,2,2,0,0,0,1,1,0,J Foster,1-1-2012,11-1-2012,J Foster,2,"X^2(1, N=236) = 3.83",236,0.05,,,Pearson's Chi-squared test,main effect,"primed participants (conceptually fluent participants) preferred concrete descriptions of the prime later, moreso than conceptually disfluent participants",phi = .13,,465,622,769,Complete,465,0.8,1,M Yates,"X^2(1, N = 1146) = .387",1146,0.53,same,,Pearson's Chi-squared test,main effect,no,0.99,Phi = .02,M Yates,,1,https://osf.io/5axfe/,PhD or equivalent,2005,Associate Professor (or equivalent),Slight Expertise,Slight Expertise,39,30,2201,was about the same quality as the original study,was about the same as the average study,Somewhat similar,"Replication was conducted online whereas original study was conducted in person. However, in-person component of original study simply involved handing out paper-pencil survey to participants.",Slightly similar,Slightly similar,Not at all challenging,Results were slightly surprising,X,1,No data used was pre-existing,Personality,236,Chi2,is,1,,3.83,is,0.05,0.050342933,0.050342933,,0.127392361,1146,Chi2,is,1,,0.387,is,0.53,0.533880559,0.533880559,,0.018376516,,2x2 chi square,2x2 chi square,,1,0,1,236,1146,,1,
105,"Night and day, you are the one: on circadian mismatches and the transference effect in social perception.","AW Kruglanski, A Pierro",PS,19,3,296-301,https://osf.io/4bv5f/,"Adolescent, Adult, Arousal, Character, Circadian Rhythm, Female, Humans, Individuality, Interpersonal Relations, Judgment, Male, Mental Recall, Social Perception, Transference (Psychology), Wakefulness",2,1,Kruglanski,23195,University of Maryland,Kruglanski,23195,University of Maryland,McElroy,566,Florida State University,McElroy,566,Florida State University,37,3.41,3.41,3.66,3.66,1,Social,1,Collected themselves,Slight expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,3.75,3.25,0,,0,,0,3,0,0,T McElroy,8-4-2014,,J Cohoon,1,"F(1, 38) = 9.47",42,0.01,,,2x2 ANOVA,interaction,"interaction between similarity condition and circadian matching: transference was higher for the similar condition than non similar condition during circadian mismatch, but not during match",__p^2 = .199,,34,35,55,Complete,65,0.98,9,B Lassetter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,42,F,is,1,38,9.47,is,0.01,0.00386326,0.00386326,,0.446647979,,,,,,,,,,,,,,,,,,,,,,,,
106,More than meets the eye: the role of language in binding and maintaining feature conjunctions.,"B Dessalegn, B Landau",PS,19,2,189-95,https://osf.io/iajp5/,"Child, Preschool, Cognition, Cues, Female, Humans, Language, Male",2,1,Dessalegn,190,Johns Hopkins,Landau,6864,Johns Hopkins,Fitneva,382,Queens University,Fitneva,382,Queens University,52,5.29,5.29,2.96,2.96,4,Cognitive,1,Collected themselves,Slight expertise required,No opportunity for researcher expectations to influence results,Slight opportunity for lack of diligence to affect the results,2,3.33,0,0,0,0,0,1,1,0,S Fitneva,9/16/13,12-1-2014,S Fitneva,4,"F(1, 34) = 5.8",36,<.05,,2,ANOVA,main effect,"directional language (e.g., to the left) helps children bind color and shape information to a greater extent than relational language alone ( e.g., next to)",d = 0.82,0.62,44,60,74,Complete,45,0.8,1,J Hartshorne,t(45) = 1.534,47,0.132,same,2,ANOVA,main effect,no,0.8,d = .48,J Goss,,1,https://osf.io/qmupg/,PhD or equivalent,2003,Associate Professor (or equivalent),Moderate Expertise,Moderate Expertise,30,8,374,was about the same quality as the original study,was about the same as the average study,Virtually identical,none,Very similar,Very similar,Not at all challenging,Results were somewhat surprising,X,1,No data used was pre-existing,Developmental,36,F,is,1,34,5.8,<,0.05,0.021595498,0.021595498,,0.381744212,47,t,is,1,45,1.534,is,0.132,0.132031044,0.132031044,,-0.222920955,,ANOVA,2 independent group t-test,,1,0,1,34,45,0.0427698,0,0
107,Nonconscious goal pursuit in novel environments: The case of implicit learning.,"B Eitam, RR Hassin, Y Schul",PS,19,3,261-7,https://osf.io/edcr7/,"Achievement, Awareness, Cues, Goals, Humans, Mental Recall, Motivation, Orientation, Pattern Recognition, Visual, Problem Solving, Reaction Time, Serial Learning, Social Environment, Unconscious (Psychology), Verbal Learning",3,2,Eitam,206,The Hebrew University,Hassin,2448,The Hebrew University,Prenoveau,297,Loyola University Maryland,Kirkhart,108,Loyola University Maryland,66,2.48,2.48,2.71,2.71,2,Social,1,Collected themselves,Slight expertise required,Strong opportunity for researcher expectations to influence results,Moderate opportunity for lack of diligence to affect the results,4.33,3.33,1,1,0,0,0,1,1,0,J Prenoveau,2/28/13,10/27/14,J Prenoveau,2,t(84) = 2.09,86,prep = .92,,2,independent samples t-test,main effect,goal primed participants learned more than participants in the control group,d = .45,,158,210,258,Complete,158,0.8,1,F Bosco,t(156) = 1.318,158,0.189,opposite,2,independent samples t-test,main effect,no,0.8,d = -0.21,A Fedor,,1,https://osf.io/bvgyq/,PhD or equivalent,1997,Associate Professor (or equivalent),Moderate Expertise,Some Expertise,12,10,105,was of slightly higher quality than the original study,was about the same as the average study,Extremely similar,"The most glaring difference between the original study and the replication study _ that may have been a factor in the failure to replicate the primary finding of the original study _ was culture. The original study was conducted in Israel with participants from that country and with stimulus materials presented in Hebrew _ probably the participantsÍ native language. Although the replication authors used a translator fluent in both Hebrew and English languages, these linguistic and cultural differences are still potentially significant factors in moderating the results of this replication study. Even though every effort was made to assure equivalency between the original Hebrew words and the English words used in the replication, it is still possible that the cultural meaning of the achievement words was more profound in the context of the Hebrew language in the Israeli culture relative to the English language in the American culture. Similarly, although participants in both studies were enrolled in an institution of higher learning, the sample from the original study was somewhat older (M = 23.9 years) than the participants in the replication study (M = 19.65, SD = 1.1). In addition, the proportion of female participants was higher in the replication study (74.8% vs. 60.5%). Although implicit learning and priming are typically less affected by demographic variables, such as age and gender, it is possible that the cultural differences described above and these other demographic variables together could be important moderating factors that affected the failure to replicate the primary finding from the original study. For example, given that all participants were students in an institution of higher learning, being older, and possibly more mature and/or focused, the participants in the original study may have been more affected by the priming condition than those in the replication study.",Not at all similar,Slightly similar,Somewhat challenging,Results were exactly as anticipated,X,1,No data used was pre-existing,Clinical,86,t,is,1,84,2.09,prep,0.92,0.039641746,0.039641746,,0.222330235,158,t,is,1,156,1.318,is,0.189,0.189435742,0.189435742,,0.104941786,,independent samples t-test,Independent samples t-test,,1,0,1,84,156,0.147449157,1,1
